CODE_UIC,LIBELLE,lat,lon,Perdu,Restituer,PerduRestituer,voyageur,ratioPV,voyageur2,ratioPV2
87696492,Cercy-la-Tour,46.8577067224,3.64498940149,0,0,0,26574,0,26574,0
87481432,Gorges,47.1078619384,-1.31369483562,0,0,0,103820,0,103820,0
87271304,La Courneuve-Aubervilliers,48.9240774825,2.38542905783,0,0,0,14831216,0,14831216,0
87673269,St-Geours,43.6712769755,-1.24107135027,0,0,0,7146,0,7146,0
87171587,Germaine,49.1280557994,4.02285878294,0,0,0,17521,0,17521,0
87271882,Margival,49.4392231316,3.40304200823,0,0,0,1,0,1,0
87313320,Moreuil,49.777092277,2.47545354215,0,0,0,179575,0,143660,0
87721506,Écully-la-Demi-Lune,45.7658040763,4.77914985201,0,0,0,254404,0,203523,0
87713040,Dijon-Ville,47.3079336204,5.03127729208,1656,670,"0,404589371980676",7835231,"0,000211353053918",5798071,"0,000285612232068"
87783282,Marvejols,44.5446701009,3.28114266377,0,0,0,21787,0,21787,0
87683441,Courtenay,48.0366577445,3.05708781307,0,0,0,0,0,0,0
87485318,Aiffres,46.2833864721,-0.422715857962,0,0,0,0,0,0,0
87751636,Séon-St-Henry,43.362285274,5.33998596951,0,0,0,1475,0,1475,0
87581850,Bassens,44.9013973885,-0.52244051118,0,0,0,24017,0,24017,0
87142026,Bricon,48.0873567467,4.97912878896,0,0,0,0,0,0,0
87271247,St-Ouen,48.9052467147,2.322511501,0,0,0,3836978,0,3836978,0
87684191,Bagneaux-sur-Loing,48.2304941874,2.70340073074,0,0,0,55168,0,55168,0
87682401,Livry-sur-Seine,48.5103728987,2.67895068497,0,0,0,106294,0,106294,0
87694364,St-Léger-sur-Dheune,46.8484251756,4.62844176645,0,0,0,5537,0,5537,0
87141044,Toul,48.6806259569,5.88507796911,0,0,0,314423,0,251538,0
87615542,Mazamet,43.4978910758,2.37480743565,0,0,0,48875,0,48875,0
87583468,Roumazières-Loubert,,,0,0,0,3106,0,3106,0
87272054,Thieux-Nantouillet,49.0086018125,2.68066830089,0,0,0,22740,0,22740,0
87478040,Dingé,48.3507076723,-1.68583203081,0,0,0,9997,0,9997,0
87755389,Pignans,43.2984534997,6.22488823987,0,0,0,19002,0,19002,0
87396002,Le Mans,47.9950190364,0.194090806362,365,88,"0,241095890410959",7564034,"4,8254674688136E-05",4916622,"7,42379625686091E-05"
87715227,Les Longevilles-Rochejean,46.7525483509,6.30472053415,0,0,0,666,0,666,0
87484337,La Possonnière,47.3710368137,-0.694762356816,0,0,0,109779,0,109779,0
87775148,Chasseradès,44.5539029539,3.83981763134,0,0,0,776,0,776,0
87491076,Beillant,45.7010171429,-0.526885316803,0,0,0,11,0,11,0
87574541,Pezou,47.8673597483,1.14101362264,0,0,0,1513,0,1513,0
87345207,Pont-de-la-Deûle,,,0,0,0,17724,0,17724,0
87175133,Bayard,48.5511423097,5.07684886673,0,0,0,2074,0,2074,0
87281105,Bergues,50.9678496372,2.42648395767,0,0,0,223631,0,178905,0
87444042,Bretteville-Norrey,49.2032579021,-0.51197547074,0,0,0,19515,0,19515,0
87276592,Gros-Noyer-St-Prix,48.9968183755,2.2590945049,0,0,0,1747157,0,1747157,0
87722520,Sibelin,45.6527331786,4.84488039228,0,0,0,0,0,0,0
87757534,Boulouris-sur-Mer,43.4163243284,6.80857335198,0,0,0,11894,0,11894,0
87271478,Le Blanc-Mesnil,48.9321479417,2.47735207552,0,0,0,4217939,0,4217939,0
87682302,Montereau,48.3800625751,2.93617269547,0,0,0,1220944,0,1220944,0
87697342,Dugny-La Courneuve TT,48.9437182103,2.41133541684,0,0,0,474457,0,474457,0
87382358,St-Cloud,48.8404903073,2.20998370581,0,0,0,7950392,0,7950392,0
87713503,Gevrey-Chambertin,47.2272896186,4.99896007791,0,0,0,91622,0,91622,0
87784264,Port-Vendres,42.5133743008,3.10268260953,0,0,0,21974,0,21974,0
87481705,St-Nazaire,47.2867636395,-2.2113248,744,279,"0,375",1063809,"0,000699373665761",851047,"0,000874217287647"
87641001,Montluçon-Ville,46.3338806799,2.60447686283,36,12,"0,333333333333333",386620,"9,31146862552377E-05",309296,"0,000116393357819"
87723197,Lyon-Part-Dieu,45.76054054,4.86020080313,1231,520,"0,422420796100731",51647336,"2,383472402139E-05",32537822,"3,78328948999721E-05"
87381137,Asnières-sur-Seine,48.9066994603,2.27930616101,0,0,0,21361941,0,21361941,0
87278259,Mérignac-Arlac,44.8267708329,-0.62624331683,0,0,0,108444,0,108444,0
87276139,Pontoise,49.0455687145,2.10195262225,0,0,0,8269012,0,8269012,0
87471524,Châteaubourg,48.1062959106,-1.40515718461,0,0,0,521666,0,417333,0
87313494,Ham,49.7395433716,3.07095711907,0,0,0,153584,0,122867,0
87141473,Houdemont,48.6451812716,6.17975378476,0,0,0,6689,0,6689,0
87172544,Liart,49.7693630639,4.33551626266,0,0,0,24,0,24,0
87783365,Sévérac-le-Château,44.325883404,3.0562338337,0,0,0,21689,0,21689,0
87751560,La Barque-Fuveau,43.4703848971,5.54729805724,0,0,0,0,0,0,0
87746826,Les Praz-de-Chamonix,45.9400066886,6.88878415645,0,0,0,6842,0,6842,0
87345116,Corbehem,50.3429993056,3.04050426554,0,0,0,29762,0,29762,0
87746875,Vallorcine,46.0324005735,6.93288399611,0,0,0,10627,0,10627,0
87413013,Le Havre,49.4926956373,0.126058417326,494,296,"0,59919028340081",2064894,"0,000239237462068",1651915,"0,000299046863791"
87171595,Rilly-la-Montagne,49.1664791682,4.04090551906,0,0,0,64498,0,64498,0
87172858,Anchamps,49.9307651493,4.66991430394,0,0,0,6979,0,6979,0
87696682,Château-Chinon,47.0718544003,3.92617809223,0,0,0,0,0,0,0
87682435,Héricy,48.4427067849,2.76079027029,0,0,0,56202,0,56202,0
87747592,Monestier-de-Clermont,44.9115497736,5.63340744937,0,0,0,23908,0,23908,0
87684118,Bourron-Marlotte-Grez,48.3327147862,2.6926141903,0,0,0,142342,0,142342,0
87484659,Château-Gontier,47.8313330075,-0.694956000266,0,0,0,0,0,0,0
87747451,Brignoud,45.2624989248,5.90132474112,0,0,0,293856,0,235085,0
87718833,Mouchard,46.9766808891,5.80083923187,0,0,0,121629,0,97303,0
87673459,Guéthary,43.4253274283,-1.60986913961,0,0,0,18887,0,18887,0
87611053,Longages-Noé,43.3556212905,1.2517287338,0,0,0,106986,0,85589,0
87734350,Langogne,44.7326835511,3.85748096043,0,0,0,25211,0,25211,0
87444299,Bernay,,,0,0,0,559000,0,447200,0
87413344,Bréauté-Beuzeville,49.6034530805,0.416915530228,0,0,0,643702,0,514962,0
